subject,description,type_id,status_id,priority_id,assignee_id,start_date,due_date,estimated_hours
"Add archived and completed project filters","Add filters for Active, All, Completed, Archived, On Hold, Draft, Managed by me, Needs setup, No team, and Over plan. Ensure archived/completed projects are discoverable.",1,3,3,,2026-08-20,2026-08-27,7
"Rename project Settings tab to Project Details","Rename the project Settings tab to Project Details. During new project creation, keep users on Project Details and disable other tabs until the project is saved.",1,3,2,,2026-08-23,2026-08-28,4
"Add compact labels to project assignment row","Add visible labels for employee, start date, end date, and bill rate in the add-employee row. Keep the form in one compact line on desktop and stack on mobile.",1,3,2,,2026-08-25,2026-08-29,4
"Create project overview dashboard cleanup","Simplify project overview to show only necessary information: Budget, Planned, Logged, Approved, Alerts, employee approval owner, PM-hours approval owner, team count, and setup readiness.",1,3,3,,2026-08-24,2026-08-31,8
"Add initial project analytics visuals","Add chart-style visualizations for planned, logged, approved, and remaining hours. Keep the dashboard compact and avoid decorative-only visuals.",1,3,3,,2026-08-26,2026-08-31,8
"Center login page logo","Fix login page brand/logo alignment so the logo appears centered and visually balanced on the login card.",1,3,2,,2026-08-27,2026-08-28,2
"Compact oversized frontend fields","Reduce excessive input sizes across project, timesheet, and admin screens. Preserve readability while making information denser and easier to scan.",1,3,3,,2026-08-28,2026-08-31,6
"Add colorful Chronos visual theme","Replace the plain black-and-white visual style with a coordinated teal, indigo, and amber theme. Update navbar, dropdowns, cards, tables, buttons, status badges, login card, summary tiles, and dark mode.",1,3,3,,2026-08-29,2026-09-02,8
"Add role-based menu cleanup","Reduce Admin menu clutter. Move Profile under avatar dropdown, keep Settings as a top icon, show Users only to Admin, and show Reports to Admin/Admin.",1,3,3,,2026-08-30,2026-09-03,6
"Allow Admin and Admin report visibility","Fix Reports page guard so Admins can access reports when the navbar shows Reports. Keep report APIs restricted to Admin/Admin.",1,3,3,,2026-09-01,2026-09-04,4
"Implement project selector on timesheet screen","Move project selection beside the month selector. Filter timesheet entries so the employee sees and edits only the selected project.",1,3,4,,2026-09-01,2026-09-06,8
"Show blank timesheet view when no project assigned","If an employee has no assigned projects, show a blank/empty state instead of an editable timesheet. Prevent projectless time entry.",1,3,4,,2026-09-02,2026-09-06,5
"Add clock icon for login/logout sessions","Replace the Add Time button with a compact clock control in each day cell. Remove project code and add-time controls from cells to keep daily entry clean.",1,3,3,,2026-09-03,2026-09-07,6
"Support multiple login/logout sessions per day","Allow employees to enter multiple login/logout pairs for a day. Validate paired times, prevent logout before login, and display entered sessions clearly.",1,3,4,,2026-09-04,2026-09-08,8
"Calculate daily hours from login/logout sessions","Calculate day hours from saved login/logout sessions when sessions are entered. Preserve manual Hours entry as independent optional behavior.",1,3,4,,2026-09-05,2026-09-09,7
"Use project assignment bill rate in timesheet","Show project assignment bill rate as read-only in timesheet. Calculate gross pay using the selected employee/project assignment rate.",1,3,4,,2026-09-06,2026-09-10,6
"Remove editable timesheet bill-rate override","Remove frontend and backend workflows that allow timesheet bill-rate overrides. Remove export-time bill-rate parameter usage.",1,3,4,,2026-09-06,2026-09-10,6
"Make assigned-project response employee-specific","Narrow employee assigned-project API responses so employees receive only their own assignment data, bill rate, and planned-hour context.",1,3,4,,2026-09-07,2026-09-11,6
"Make assigned-project response period-aware","Update assigned-project API to accept year and month. Return the correct monthly planned hours for the selected timesheet period.",1,3,4,,2026-09-08,2026-09-12,6
"Show planned and remaining hours in timesheet","Display logged/planned hours and hours remaining for the selected project/month. Use monthly planned hours first and assignment fallback only when monthly plan is unavailable.",1,2,4,,2026-09-09,2026-09-14,6
"Update remaining hours in realtime","Update remaining hours immediately as the employee types manual hours or saves login/logout sessions. Avoid stale month/project values when switching context.",1,2,4,,2026-09-09,2026-09-15,8
"Block manual hour entry over remaining hours in UI","Verify and refine realtime blocking when a user types hours beyond remaining allocation. Ensure decimals, empty input, backspace, pasted values, and reducing existing hours all behave correctly.",1,2,4,,2026-09-10,2026-09-17,8
"Block login/logout sessions over remaining hours in UI","Verify the clock dialog calculates session totals and blocks save when session hours exceed remaining allocation. Include multiple sessions, partial sessions, invalid logout-before-login, and clearing sessions.",1,2,4,,2026-09-11,2026-09-18,8
"Prevent timesheet submission with zero planned hours","Ensure submit button is disabled and backend rejects submission when no hours are allocated for the selected project/month. Show a clear message telling the employee to contact Admin/PM.",1,2,4,,2026-09-11,2026-09-18,5
"Add server-side over-planned-hours validation","Reject add time entry, update time entry, session-calculated hours, and submit project timesheet when projected project hours exceed planned allocation.",1,2,4,,2026-09-12,2026-09-19,10
"Improve over-hours error messages","Change over-hours messages to include planned hours, already logged hours, attempted hours, and remaining hours. Use the same wording in frontend and backend where possible.",1,1,3,,2026-09-17,2026-09-24,4
"Make monthly planned hours more discoverable","Improve the Projects Hours tab so Admin/PM understands planned hours are month-specific. Show selected month near the table, add helper text, and show saved/unsaved state.",1,2,3,,2026-09-13,2026-09-22,6
"Add planned-hours save feedback","When a planned-hours input is changed and saved, show a small success state or saved timestamp. If save fails, restore the previous value and show the backend error message.",1,1,3,,2026-09-16,2026-09-25,6
"Clarify assignment planned hours versus monthly plan","Review whether ProjectAssignment.plannedHours should remain as a fallback or be renamed/removed to avoid confusion. Document the intended data model and update labels in code/UI as needed.",1,2,3,,2026-09-16,2026-09-25,6
"Route project timesheets to Project Manager","Ensure project timesheet submissions route to the assigned Project Manager instead of Admin. Admins should not automatically approve project timesheets.",1,2,4,,2026-09-10,2026-09-18,8
"Route Project Manager's own hours to PM-hours approver","When the submitter is the Project Manager, route approval to the configured PM-hours approver. Prevent self-approval and unrelated approvers.",1,2,4,,2026-09-12,2026-09-20,8
"Validate end-to-end approval notifications","Confirm Project Manager receives pending approval notification and PM-hours approver receives PM self-hours notification. Confirm Admin receives only intended Admin items.",1,2,4,,2026-09-18,2026-09-27,8
"Create separate approval queue labels by role","Update approval dashboard headings and labels so Project Managers see Project Approvals, Admins see Admin Approvals, and Admin sees System Oversight.",1,1,3,,2026-09-24,2026-09-30,5
"Separate letter approvals from timesheet approvals in dashboard","Make letter approval items visually distinct from timesheet and vacation approvals. Ensure Admin can review letters without confusing them with Project Manager timesheet approvals.",1,2,3,,2026-09-14,2026-09-24,5
"Expose exact backend validation messages to frontend","Update API error handling so frontend pages display backend validation messages for project setup, assignments, planned hours, timesheet entry, submit, approve, reject, PDF export, and reports.",1,1,4,,2026-09-20,2026-10-02,12
"Add project setup validation tests","Test Project Code, Project Name, Project Manager, PM-hours approver, duplicate code, total allocated hours, PM self-approval, assignment dates, bill rate, and inactive employee assignment.",1,1,4,,2026-09-22,2026-10-04,14
"Add planned-hours backend tests","Create tests for monthly planned hours creation, update, negative values, missing period, Admin access, Admin access, Project Manager access for managed projects, and denial for unrelated Project Managers and employees.",1,1,4,,2026-09-24,2026-10-05,12
"Add planned-hours frontend regression test","Add a UI test verifying planned hours entered in the Project Hours tab appear in the employee timesheet for the same project and month, update remaining hours, and change when month changes.",1,1,4,,2026-09-26,2026-10-07,12
"Add backend tests for Admin-only user management","Create service/controller tests proving only Admin can list all users, change roles, deactivate users, reactivate users, and access user-management APIs. Include negative tests for Admin, Project Manager, Employee, anonymous/missing JWT, and self-demotion of the last Admin.",1,1,4,,2026-09-24,2026-10-08,10
"Add backend tests for role self-promotion prevention","Verify users cannot promote themselves to Admin or Admin through any exposed API. Include tests for direct role API calls, malformed role values, inactive users, and attempts by non-Admin roles.",1,1,4,,2026-09-26,2026-10-08,6
"Add backend tests for project-specific approval permissions","Create tests proving Project Managers can approve only project submissions for projects they manage. Verify they cannot approve unrelated projects, cannot approve their own timesheets, and cannot approve employee timesheets for inactive or archived projects.",1,1,4,,2026-09-27,2026-10-10,12
"Add backend tests for PM-hours approver workflow","Test the case where the submitter is also the Project Manager. Confirm approval routes to the configured PM-hours approver, the project manager cannot approve their own hours, and unrelated Admin/PM users are denied unless they are Admin.",1,1,4,,2026-09-28,2026-10-12,10
"Add server-side over-planned-hours tests","Test add time entry, update time entry, session-calculated hours, submit project timesheet, and correcting a previous entry downward. Confirm backend rejects over-planned totals regardless of frontend behavior.",1,1,4,,2026-10-01,2026-10-15,14
"Add timesheet read-only state tests","Create tests proving submitted and approved project timesheets cannot be edited by employee, rejected timesheets become editable again, and approved timesheets remain permanently read-only.",1,1,4,,2026-10-01,2026-10-15,12
"Review monthly timesheet status aggregation","Audit how monthly Timesheet.status is calculated from project submissions. Verify mixed project states such as one approved project and one rejected project display correctly in dashboard and list views.",1,1,3,,2026-10-02,2026-10-14,8
"Add tests for mixed-project timesheet ownership","Create tests for a timesheet containing entries for multiple projects with different project managers. Ensure each project submission has independent status, approval owner, PDF eligibility, and rejection reason.",1,1,4,,2026-10-03,2026-10-18,16
"Improve multi-project timesheet UX","When an employee has multiple projects, make project switching obvious and show each project's status in the selector. Consider badges such as Draft, Submitted, Approved, Rejected next to project names.",1,1,3,,2026-10-05,2026-10-18,10
"Add Project Manager approval notification tests","Verify notification is created for the assigned Project Manager when an employee submits a project timesheet. Verify PM-hours approver receives notification when the submitter is the Project Manager.",1,1,4,,2026-10-03,2026-10-16,8
"Add notification recipient visibility in debug/admin view","Add a lightweight Admin/Admin view or audit detail showing who was notified for a submitted timesheet. Useful for diagnosing routing complaints.",1,1,2,,2026-10-10,2026-10-24,8
"End-to-end test for letter approval flow","Create E2E test: employee requests letter, Admin sees pending request, Admin opens review page, approves, employee can download PDF. Include rejection with reason.",1,1,4,,2026-10-01,2026-10-16,12
"Review vacation approval role policy","Vacation approvals currently appear separate from project approval. Confirm intended approver role, document it, and update UI/API guards if Admin should approve vacation instead of Admin only.",1,1,3,,2026-10-01,2026-10-10,6
"Add project budget versus planned validation","When total allocated project hours are set, warn if sum of employee planned hours exceeds project allocation for the selected month. Decide whether this should be warning-only or hard-block.",1,1,3,,2026-10-05,2026-10-18,8
"Add project budget report","Create a report showing project total allocated hours, monthly planned hours, logged hours, approved hours, remaining project budget, and over-plan flags. Allow Admin/Admin export.",1,1,3,,2026-10-10,2026-10-31,16
"Improve project search empty state","When searching projects and no match is found, show a useful empty state with current filter context and a New Project action for Admin/Admin.",1,1,2,,2026-10-01,2026-10-08,4
"Add archived and completed project read-only behavior","Review whether archived/completed projects should be editable, assignable, or visible in timesheets. Enforce chosen behavior in backend and frontend.",1,1,3,,2026-10-05,2026-10-18,10
"Add project assignment history view","Show active and ended assignments with start date, end date, bill rate, planned fallback hours, and assigned-by metadata. Keep the main Team view compact and move history behind a filter or section.",1,1,2,,2026-10-12,2026-10-28,12
"Add project manager transfer workflow","Allow Admin/Admin to change a project manager safely. Preserve old assignment history, require new PM-hours approver if needed, and avoid breaking pending approvals.",1,1,3,,2026-10-15,2026-10-31,14
"Add PDF export backend tests","Test approved-only export rule, unauthorized export denial, project-specific PDF data, login/logout sessions, approver name/date, employee designation, and project code/name.",1,1,4,,2026-10-01,2026-10-14,14
"Improve PDF layout for long session lists","Update PDF generation so days with multiple login/logout sessions wrap cleanly instead of truncating. Add pagination when entries exceed page height.",1,1,3,,2026-10-08,2026-10-24,14
"Add XLS export project-rate correctness tests","Test that exported timesheets use project assignment bill rate, not user default or removed override rate. Cover employees with different rates across two projects.",1,1,4,,2026-10-03,2026-10-17,10
"Review report behavior for multi-project monthly timesheets","Define how monthly XLS export should handle multiple project rates in the same month. Options: one workbook per project submission, one workbook with project columns, or one blended monthly summary.",1,1,3,,2026-10-05,2026-10-18,8
"Implement chosen multi-project report model","After decision, update report generation, filenames, UI labels, and tests so exported hours/rates are correct for employees working on multiple projects in one month.",1,1,4,,2026-10-18,2026-11-06,20
"Add reminder configuration UI polish","Improve Admin/Admin settings for reminders with labels for enable/disable, initial days before month-end, final working week daily reminders, frequency, and notification method.",1,1,3,,2026-10-01,2026-10-15,8
"Add reminder scheduling tests","Test first reminder seven days before month-end, daily reminder during final working week, weekend skip behavior, stop-after-submit behavior, and no duplicate reminder behavior.",1,1,4,,2026-10-01,2026-10-16,12
"Add reminder audit trail","Store and display reminder sent timestamps, target period, user, notification method, and reason. Useful for proving reminders stopped after submission.",1,1,2,,2026-10-12,2026-10-30,10
"Improve application theme accessibility","Check color contrast for new teal/indigo/amber theme, status chips, disabled controls, dark mode, error messages, and table text. Adjust colors to meet WCAG AA where practical.",1,1,3,,2026-10-01,2026-10-12,8
"Responsive QA for timesheet calendar","Test timesheet calendar on common laptop, tablet, and mobile widths. Fix wrapping, overflow, disabled state visibility, summary tile stacking, and clock dialog usability.",1,1,3,,2026-10-08,2026-10-22,10
"Responsive QA for project management page","Test project search, details tab, team assignment row, hours table, charts, filters, and create-project flow across viewport sizes. Fix overflow and cramped labels.",1,1,3,,2026-10-10,2026-10-24,10
"Add Playwright smoke test for login and navigation","Create smoke test for dev login, dashboard load, menu visibility by role, navigation to Timesheets, Projects, Reports, Users, Settings, and Approvals.",1,1,4,,2026-10-10,2026-10-25,16
"Add test data seeding for local development","Create repeatable seed data for Admin, Admin, Project Manager, Employees, projects, assignments, planned hours, sample timesheets, and pending approvals. Document how to reset DB and seed data.",1,1,3,,2026-10-03,2026-10-18,12
"Document local setup and role login credentials","Update developer documentation with startup commands, dev-login examples for Admin/Admin/PM/Employee, DB reset steps, seed data steps, and common troubleshooting.",1,1,3,,2026-10-05,2026-10-18,8
"Add API documentation for project and timesheet workflows","Document endpoints for projects, assignments, planned hours, timesheet entries, project submissions, approvals, reports, and reminders. Include request/response examples and permission requirements.",1,1,2,,2026-10-10,2026-10-28,14
"Audit existing migrations for clean fresh install","Run through migrations from an empty database and from an existing database. Confirm enum creation, constraints, seed settings, Admin setup, project fields, assignment fields, and reminder settings are stable.",1,1,4,,2026-10-08,2026-10-22,10
"Add database constraints for assignment bill rate and dates","After data backfill, add database-level constraints requiring bill_rate, start_date, and end_date for project assignments. Add check constraints for non-negative bill rate and start_date <= end_date where supported.",1,1,4,,2026-10-15,2026-10-29,8
"Add CI build workflow","Set up automated backend compile/test and frontend build for every branch or PR. Include artifact logs and fail fast on Java or React build errors.",1,1,3,,2026-10-15,2026-10-31,12
"Add release checklist","Create checklist covering DB migration, seed data, role smoke tests, project setup, planned-hour validation, approval routing, PDF export, reports, reminders, and rollback notes.",1,1,2,,2026-10-24,2026-11-02,6
"Add E2E happy path for employee timesheet","Automate employee assigned to project with planned hours, employee logs hours, remaining hours updates, employee submits, Project Manager approves, employee exports PDF.",1,1,4,,2026-10-20,2026-11-05,20
"Add E2E rejection correction workflow","Automate employee submission, Project Manager rejection with reason, employee sees reason, edits hours, resubmits, Project Manager approves, PDF becomes available.",1,1,4,,2026-10-22,2026-11-07,18
"Run full UAT pass with realistic month-end scenario","Simulate final working week: Admin creates project, assigns employee, sets planned hours, employee logs daily sessions, reminder behavior is checked, employee submits, PM approves/rejects, reports are exported.",1,1,4,,2026-10-28,2026-11-09,16
"Final production readiness review","Complete final review of roles, project setup, assignment flow, planned hours, timesheet entry, approval routing, PDF export, reports, reminders, migrations, documentation, and known issues before delivery sign-off.",1,1,4,,2026-11-03,2026-11-10,12
"Final delivery and handover","Package final release notes, setup instructions, UAT summary, known limitations, and OpenProject closure notes. Confirm final delivery milestone is ready for stakeholder review.",1,1,4,,2026-11-10,2026-11-15,8
